Kode Produk,MAE_XGBoost,MAE_MA4,RMSE_XGBoost,RMSE_MA4,Engine
OB-PIKANSHUCR,2.3732,1.875,2.4633,2.3805,MA-4
OB-PIR20M,3.5857,0.0,3.5857,0.0,MA-4
OB-POLPLU,3.2329,0.7083,3.348,1.291,MA-4
OB-POLSYR50M,1.874,0.5625,1.9395,0.5995,MA-4
OB-PONTAB,3.7597,3.7917,4.3162,4.5426,XGBoost
OB-PRO4MG,12.1497,12.9167,14.9783,16.6458,XGBoost
OB-RANHCL150GENHJ,20.3889,23.75,25.1131,28.5591,XGBoost
OB-RANHYD,4.2656,0.2083,4.2804,0.7217,MA-4
OB-REN,19.4398,23.125,25.3118,28.8043,XGBoost
OB-RENTAB,32.0891,35.4167,52.4306,56.3194,XGBoost
OB-RHE,9.2988,7.9167,9.9967,10.4583,MA-4
OB-RHISR,2.5155,0.0417,2.5155,0.1021,MA-4
OB-RL1,2.2764,2.8125,2.7905,3.27,XGBoost
OB-SAL88,1.6442,0.8125,1.8391,0.9601,MA-4
OB-SAM,18.2704,20.625,24.7615,25.8098,XGBoost
OB-SAMTAB,3.1411,2.8229,3.2649,3.4842,MA-4
OB-SAMTAB1,2.3673,1.4375,2.589,1.6848,MA-4
OB-SANDRO,1.4923,0.9375,1.6993,1.0729,MA-4
OB-SANSYR60M,1.8206,0.8125,2.0123,1.0777,MA-4
OB-SANTAB,2.3914,2.2083,2.6116,2.7099,MA-4
OB-SANTAB1,1.5369,1.1458,1.6948,1.3938,MA-4
OB-SIM10M,3.5751,2.3958,4.2952,2.6526,MA-4
OB-SOL,1.8819,0.7708,1.9915,0.9492,MA-4
OB-SUCOBGDEX,1.8779,0.5625,1.9864,0.7739,MA-4
OB-SUP,5.9259,3.375,6.7511,4.1244,MA-4
OB-SYNSAL1,1.7439,0.875,1.9421,0.9948,MA-4
OB-TABTAMDAR,2.0592,1.7917,2.3179,2.2361,MA-4
OB-TEO,10.2238,4.125,11.7017,5.5377,MA-4
OB-TERF,1.4464,1.75,1.8024,2.0966,XGBoost
OB-VOL,27.5297,31.0417,41.2535,44.4703,XGBoost
OB-WIR20,26.12,31.6667,31.5644,34.6861,XGBoost
OB-YUSSYR,2.043,0.5417,2.1353,0.7289,MA-4
OB-YUSTAB500,19.5282,19.7917,24.0581,24.399,XGBoost
OB-ZENSAL,2.043,0.7083,2.1364,0.8085,MA-4
OB-ZORKRI,2.0258,0.7708,2.1165,0.9656,MA-4
OB-ZORTAB,16.3903,17.0833,22.4051,21.4087,XGBoost
UM-TESKEHINS,3.5857,0.0,3.5857,0.0,MA-4
UM-ZUDAIFU,1.7646,0.8125,1.9044,1.0582,MA-4
